"","OsTir1_Ctrl_1","OsTir1_Ctrl_2","OsTir1_Auxin_1","OsTir1_Auxin_2","Chd1_Ctrl_1","Chd1_Ctrl_2","Chd1_Auxin_1","Chd1_Auxin_2"
"Gr47b",90,89,189,95,159,134,175,174
"Gr58a",0,0,0,0,0,1,0,0
"Gr58c",4,9,16,9,64,51,62,58
"Gr59a",0,0,0,0,0,0,0,0
"Gr59b",0,0,0,0,0,0,0,0
"Gr59f",0,2,1,1,3,0,2,1
"Gr5a",3,6,15,10,26,25,29,20
"Gr61a",14,15,16,14,36,33,63,65
"Gr64a",0,0,0,0,0,0,1,1
"Gr64b",0,1,0,0,0,0,0,0
"Gr64c",0,1,0,0,0,0,0,0
"Gr64d",0,0,0,0,0,0,0,1
"Gr64e",0,0,0,0,0,0,0,1
"Gr64f",0,0,1,0,0,0,0,0
"Gr68a",0,0,0,0,0,0,0,0
"Gr8a",0,0,0,0,0,0,0,0
"Gr92a",0,0,0,0,0,0,0,0
"Gr93a",0,1,0,0,0,1,0,0
"Gr94a",270,284,479,274,677,819,691,842
"Gr98a",0,0,0,0,1,0,0,0
"Gr98b",0,0,0,0,0,0,0,0
"Gr98c",0,0,0,0,0,0,0,0
"Gr98d",0,0,0,0,0,0,0,0
"Gr9a",0,0,0,0,0,0,0,0
"Grasp65",429,355,710,379,790,884,846,915
"grass",778,722,1323,674,1419,1333,1184,1378
"Grd",1,0,3,1,2,1,2,3
"grh",6,6,8,3,9,11,18,16
"Grik",0,1,0,0,0,0,0,1
"Grip",653,557,1122,650,1091,1070,1375,1267
"Grip71",351,323,606,346,768,755,869,864
"Grip75",139,104,226,110,295,307,355,371
"grnd",0,0,0,2,2,3,3,3
"gro",607,555,1176,564,1409,1409,1607,1500
"grp",1644,1400,3239,1690,4962,4464,5210,4588
"gry",538,525,1108,617,1303,1455,1451,1530
"Gs1",463,483,838,461,1632,1722,1435,1481
"Gs2",18,8,28,6,260,344,133,198
"gsb",16,16,41,23,114,102,156,142
"gskt",2,0,0,1,3,1,0,0
"Gss1",442,414,818,410,806,986,805,990
"Gss2",442,414,818,410,806,986,805,990
"GstD11",0,2,0,1,1,0,0,0
"GstE11",274,240,533,217,2607,2794,2477,2688
"GstE13",34,31,78,35,139,152,221,209
"GstE14",0,1,0,0,4,1,2,2
"GstE8",624,619,1226,582,2084,2587,1594,1842
"GstO3",137,148,223,136,284,253,294,322
"GstT1",262,274,459,242,1124,1186,1455,1599
"GstT2",154,159,277,145,594,709,810,706
"GstT3",453,511,814,485,1983,2141,1951,2027
"GstT4",600,636,1062,648,2076,2198,2032,2055
"gudu",0,0,0,0,1,0,2,1
"Gug",971,804,1819,916,1841,1931,2009,1891
"gukh",1244,1220,2116,1255,2117,2265,2644,2843
"GV1",0,0,0,0,1,2,4,3
"gwl",242,193,466,233,487,432,500,494
"GXIVsPLA2",432,349,676,383,651,748,902,974
"Gyc88E",13,22,49,22,59,60,52,62
"Gyc89Da",7,5,9,3,8,9,7,11
"Gyc89Db",2,1,2,2,2,8,9,10
"Gycalpha99B",0,0,2,0,3,1,0,1
"Gycbeta100B",0,1,1,0,5,4,4,4
"Gyg",267,277,481,257,555,668,1388,1454
"gzl",325,285,649,360,966,1115,1016,1240
"h",3951,3628,7105,3957,9042,10073,11595,12360
"H",457,378,762,375,672,737,809,771
"H15",0,0,1,0,0,1,0,1
"Had2",24,12,32,12,82,104,20,30
"haf",8,14,31,12,49,41,39,48
"hang",1005,942,1843,988,2489,2648,2793,2940
"Haspin",502,511,971,565,1782,1772,1755,1630
"hay",137,134,296,143,567,591,684,696
"hbs",402,408,724,375,1278,1403,1342,1338
"Hcf",746,624,1392,698,1669,1900,1918,1935
"Hcs",263,215,454,271,503,589,577,581
"HDAC1",343,279,699,268,407,508,454,438
"HDAC6",84,66,159,83,224,257,253,253
"hdc",4081,3739,7729,3963,9789,9817,15672,14078
"Hdc",0,1,0,0,1,1,3,2
"hdly",623,528,1001,581,3103,3409,2953,3199
"Hel89B",1799,1612,3510,1651,3150,3621,3331,3385
"Helz",602,537,1179,626,965,1093,1167,1233
"Hen1",241,194,491,255,748,919,982,1114
"her",170,166,326,160,424,439,398,428
"HERC2",491,497,934,539,844,1010,884,939
"Herc4",260,309,526,381,364,407,406,474
"Hers",4382,3991,8008,4458,14552,15588,12752,13163
"Hex-A",993,850,1502,791,3320,3390,3465,3693
"Hex-t1",1,1,2,5,4,4,2,2
"Hex-t2",2,1,4,4,1,1,2,2
"Hexim",133,102,221,109,547,575,511,443
"Hexo1",13,15,41,16,64,85,70,104
"Hexo2",1256,1284,2469,1253,3461,3478,2862,2943
