"","OsTir1_Ctrl_1","OsTir1_Ctrl_2","OsTir1_Auxin_1","OsTir1_Auxin_2","Chd1_Ctrl_1","Chd1_Ctrl_2","Chd1_Auxin_1","Chd1_Auxin_2"
"CG10264",1,4,7,1,9,9,19,14
"CG10286",568,539,978,536,707,777,799,856
"CG10300",0,1,1,0,1,2,2,2
"CG10301",0,0,3,0,0,0,1,1
"CG10307",0,0,0,0,1,6,2,5
"CG10321",634,577,1134,621,1466,1470,1595,1466
"CG10333",217,201,386,206,356,343,418,458
"CG10336",153,150,343,136,229,223,311,265
"CG10338",94,100,189,111,274,271,275,311
"CG10341",424,354,757,359,718,837,791,885
"CG10357",5,2,8,3,10,5,27,28
"CG10359",169,180,320,158,162,141,558,539
"CG10365",1413,1158,2689,1232,6943,7959,6212,6645
"CG10366",117,104,212,106,344,429,375,388
"CG10375",116,132,241,122,370,454,458,516
"CG10384",0,0,1,0,1,1,1,2
"CG10395",144,128,308,135,405,463,364,401
"CG10405",4,5,4,1,2,7,9,2
"CG10428",85,65,173,87,214,218,213,208
"CG10431",35,33,66,34,98,77,81,104
"CG10459",3,6,3,6,18,15,12,8
"CG10463",128,113,238,101,216,282,284,284
"CG10492",635,539,1219,564,1162,1257,1395,1490
"CG10495",144,127,254,126,309,339,335,420
"CG10508",27,28,58,37,134,167,241,225
"CG10512",481,504,864,426,1879,1961,1753,1860
"CG10516",94,81,181,74,479,523,484,581
"CG10543",823,735,1564,752,1740,1899,2017,2194
"CG10555",283,238,509,258,495,498,516,536
"CG10561",37,43,93,47,106,112,82,70
"CG10588",12,15,35,10,48,47,63,64
"CG10589",0,0,0,0,0,0,0,0
"CG10616",301,265,581,283,602,633,687,663
"CG10680",0,0,0,0,0,0,1,3
"CG10681",25,23,50,25,68,90,101,115
"CG10725",0,0,0,0,1,2,2,1
"CG10737",470,433,893,464,3703,3858,3574,3521
"CG10738",708,713,1390,622,1727,1900,1773,1874
"CG1074",176,162,328,172,346,356,347,377
"CG10749",0,0,1,1,2,0,0,1
"CG10750",0,0,0,0,0,0,0,0
"CG10764",99,89,179,96,186,153,111,102
"CG1077",1,5,7,3,7,17,4,2
"CG10801",86,50,145,104,106,106,143,162
"CG10802",153,135,235,146,560,651,741,868
"CG10803",241,213,513,254,531,522,593,655
"CG10839",0,0,0,0,0,0,1,0
"CG10841",0,0,1,0,0,1,0,1
"CG10845",0,0,0,0,0,0,0,0
"CG10887",0,0,0,0,0,0,0,0
"CG10898",73,60,125,68,246,258,252,276
"CG1090",37,42,92,45,115,145,111,110
"CG10903",99,90,216,94,95,115,97,113
"CG10907",73,58,115,50,190,220,220,269
"CG10910",0,0,0,0,0,0,0,1
"CG10914",174,134,311,160,310,333,356,391
"CG10916",254,212,502,246,1045,1127,1544,1798
"CG10919",0,0,0,0,0,0,0,0
"CG1092",626,578,1068,571,2104,2286,2041,2293
"CG10927",59,60,104,58,82,109,110,141
"CG10931",3,4,6,3,0,1,5,6
"CG10934",0,0,0,0,9,6,11,5
"CG10939",22,34,37,30,174,132,176,177
"CG10950",0,0,0,0,0,1,0,0
"CG10958",89,64,172,88,123,163,129,179
"CG10959",48,54,91,40,84,101,89,92
"CG10979",641,567,1240,616,1910,2024,1854,1902
"CG10984",176,136,341,149,431,438,479,532
"CG11000",30,25,65,21,196,249,197,294
"CG11007",85,86,170,96,203,218,222,237
"CG11018",0,0,0,0,0,1,1,0
"CG11029",36,24,44,23,35,52,29,31
"CG1103",120,83,221,100,310,361,315,408
"CG11030",730,643,1400,646,1791,1967,1631,1699
"CG11034",78,117,142,98,1106,1261,1231,1341
"CG11044",620,618,1230,623,1767,1828,1442,1689
"CG11050",1932,2009,4099,1973,5400,5730,5000,5278
"CG11060",1,0,0,0,1,1,0,0
"CG11068",0,0,0,0,0,0,1,0
"CG11069",0,1,2,1,2,2,2,2
"CG11070",263,252,516,262,597,777,674,729
"CG11085",1,0,0,2,3,3,3,2
"CG11089",233,234,509,279,247,276,162,160
"CG11095",123,105,235,118,366,422,378,427
"CG11099",0,0,0,1,0,1,0,0
"CG11109",155,152,290,165,315,363,549,640
"CG11123",301,229,460,215,273,301,357,352
"CG11125",115,96,213,91,522,543,767,842
"CG11127",45,44,67,38,86,120,131,164
"CG1113",0,0,2,2,13,20,13,12
"CG11131",0,0,0,1,1,0,0,2
"CG11134",40,38,62,32,89,133,121,155
"CG11151",758,666,1357,606,2456,2699,2578,2930
"CG11155",84,45,148,62,199,220,244,269
"CG11158",97,103,188,94,151,154,184,197
"CG1116",128,127,274,125,361,400,383,373
"CG11164",67,87,148,69,114,107,120,111
"CG11168",226,180,407,205,583,695,718,782
"CG11178",137,126,245,134,286,307,295,357
"CG11226",7,6,21,10,37,34,59,53
"CG11236",0,0,1,0,7,1,5,4
"CG1124",13,27,62,19,207,174,352,330
"CG11248",90,76,186,100,128,151,221,216
"CG11249",0,0,0,0,0,0,0,0
"CG11257",36,30,56,37,102,135,109,137
"CG11262",0,0,0,0,0,1,0,1
"CG11263",1,1,4,2,8,9,4,12
"CG11275",35,35,81,36,284,327,672,688
"CG11279",262,193,497,258,478,584,505,505
"CG1129",372,313,729,314,1256,1276,1027,1039
"CG11291",2,0,3,1,11,4,6,4
"CG11307",53,47,110,37,189,212,215,215
"CG11349",0,0,0,0,0,0,0,0
"CG11350",0,0,0,0,0,0,0,1
"CG11353",30,24,51,27,25,15,7,7
"CG11357",3797,3694,7340,4047,5660,5904,4665,4074
"CG1136",2,2,10,8,7,4,7,10
"CG11360",730,655,1374,694,2390,2707,2696,2665
"CG11367",408,404,756,409,1602,1690,2050,2271
"CG11369",0,0,0,0,0,1,0,0
"CG11370",0,0,0,0,0,0,1,2
"CG11374",102,110,165,102,702,697,725,659
"CG11377",236,206,401,217,469,461,447,510
"CG11378",42,42,89,47,71,72,113,118
"CG11379",0,1,0,0,0,0,0,0
"CG11380",1,0,1,0,0,1,0,1
"CG11381",1,0,0,0,1,0,2,3
"CG11382",1,1,3,0,28,31,14,12
"CG1139",7,13,11,6,53,51,84,75
"CG11391",0,0,0,0,1,1,0,0
"CG11400",58,60,119,57,558,551,400,423
"CG11407",0,0,0,2,2,6,1,4
"CG11414",256,221,489,250,683,787,799,821
"CG11417",353,295,661,323,274,309,263,335
"CG11426",9,10,22,8,109,118,53,45
"CG1143",6,9,10,7,21,21,23,35
"CG11438",1,3,2,0,12,8,6,5
"CG11449",3,0,2,1,5,8,4,0
"CG11453",1,1,0,0,1,1,9,4
"CG11456",17,25,45,16,91,123,117,118
"CG1146",2553,2834,4692,2652,9984,10869,8849,8793
"CG11504",181,191,382,172,305,334,342,394
"CG11529",5,4,7,0,10,17,22,25
"CG11560",72,51,138,67,168,203,197,226
"CG11566",50,58,117,64,46,49,175,212
"CG11581",0,0,0,0,0,0,0,0
"CG11584",0,0,0,0,0,0,0,0
"CG11585",0,0,0,0,0,2,0,0
"CG11588",0,0,0,0,0,0,0,0
"CG11596",176,148,351,146,212,193,256,273
"CG11598",3,2,1,8,17,14,13,10
"CG11600",2,6,3,1,5,6,7,13
"CG11608",0,0,1,0,2,2,2,1
"CG1161",165,171,356,170,374,410,401,479
"CG11626",0,0,1,0,5,3,7,8
"CG11634",0,0,0,0,2,1,0,1
"CG11655",103,56,177,90,365,494,314,390
"CG11656",1,1,1,0,5,4,7,8
"CG11668",88,96,206,97,573,665,368,380
"CG11670",0,1,3,1,3,7,4,7
"CG11686",506,408,920,439,1150,1319,991,1177
"CG11695",95,87,210,84,172,213,188,200
"CG11696",137,135,259,122,193,232,203,227
"CG11699",93,114,204,89,218,215,261,267
"CG1172",405,400,774,386,838,806,969,1044
"CG11737",122,134,226,147,476,488,388,383
"CG11753",140,139,238,157,518,609,492,538
"CG11755",141,157,244,128,612,663,606,612
"CG11760",31,35,96,38,148,154,186,196
"CG11771",251,253,494,234,448,520,508,531
"CG11777",27,30,73,25,101,102,118,130
"CG11786",3,5,4,3,7,10,5,10
"CG11788",61,52,139,70,155,138,169,178
"CG11790",758,625,1266,683,1287,1629,2072,2226
"CG11791",823,814,1558,837,2574,2792,2967,3389
"CG11807",156,183,367,170,471,578,544,595
"CG11811",222,194,449,221,385,412,427,457
"CG11828",5,7,13,10,19,15,22,19
"CG11836",3,7,1,2,42,18,33,45
"CG11837",66,63,147,73,107,129,123,134
"CG11841",3,6,8,3,14,13,12,8
"CG11842",2,2,1,0,2,0,3,2
"CG11843",0,1,1,1,1,2,1,2
"CG11852",0,1,1,1,1,3,2,1
"CG11854",0,0,0,0,0,0,0,0
"CG11857",470,377,886,404,897,1018,1020,1237
"CG11873",1714,1597,3192,1575,4037,4429,4604,4774
"CG11878",0,0,3,0,0,0,0,0
"CG11883",1709,1364,3162,1596,6012,6103,6593,6560
"CG11889",0,0,1,0,0,0,0,0
"CG11891",0,0,1,0,0,0,0,0
"CG11892",0,0,0,0,1,0,0,0
"CG11893",2,0,0,0,3,2,10,11
"CG11898",0,4,2,2,12,8,12,12
"CG11899",716,650,1119,620,1678,1720,1560,1641
"CG11902",132,107,257,130,242,288,302,358
"CG11920",158,135,308,159,274,288,293,321
"CG11927",92,81,187,86,249,328,290,303
"CG11929",712,610,1246,677,843,854,1323,1321
"CG11961",1213,1194,2165,1022,3374,3440,3142,3078
"CG11970",432,347,787,361,702,727,666,701
"CG11975",132,152,310,145,629,729,566,673
"CG11980",227,236,429,213,435,460,383,432
"CG11983",11,12,22,13,59,41,43,37
"CG11986",43,48,85,48,148,150,143,174
"CG11997",0,0,0,0,0,0,0,0
"CG12003",0,0,0,0,0,2,1,0
"CG12004",454,458,946,510,1312,1521,1502,1604
"CG12007",271,274,516,283,715,811,775,985
"CG12009",0,0,0,0,0,0,2,1
"CG12010",157,146,267,161,467,573,408,483
"CG12011",0,2,2,0,10,6,1,2
"CG12012",189,122,332,119,627,618,651,750
"CG12016",160,155,277,132,321,411,446,463
"CG12017",4,1,4,2,4,5,4,4
"CG12020",48,48,72,70,69,73,83,81
"CG12024",197,170,393,192,488,594,584,581
"CG12025",199,162,351,183,517,585,650,707
"CG12035",37,56,67,72,602,644,185,189
"CG12038",0,0,0,0,0,0,0,0
"CG12054",1083,1094,2028,1093,3781,4199,4063,4308
"CG12061",5,3,25,10,23,23,36,21
"CG12065",1533,1552,2869,1686,3937,3726,3490,3377
"CG12075",56,68,112,46,330,300,225,219
"CG1208",9,4,17,10,4,1,2,1
"CG12081",65,72,135,77,194,251,254,211
"CG12096",96,81,197,84,239,283,255,307
"CG12106",53,41,96,40,109,85,113,124
"CG12128",481,431,899,474,693,793,879,915
"CG12129",215,218,453,232,447,406,576,605
"CG1213",8,5,6,8,53,30,43,38
"CG12133",0,1,0,1,0,1,1,1
"CG12134",139,112,259,115,287,286,324,388
"CG12155",133,97,270,124,292,322,287,303
"CG12164",0,0,0,0,1,0,1,1
"CG12170",211,205,403,201,604,716,671,733
"CG12171",141,126,246,124,577,640,844,797
"CG1218",107,97,213,116,165,182,205,213
"CG12194",0,1,0,1,6,7,15,7
"CG12236",568,525,1102,625,1184,1324,1315,1328
"CG12239",1,0,2,0,1,4,2,3
"CG12241",210,180,352,215,344,355,384,418
"CG12253",49,45,85,33,224,211,258,251
"CG12267",44,36,90,44,86,95,80,73
"CG12290",1357,1477,2314,1304,4408,4526,4533,4451
"CG12299",256,223,509,244,551,601,685,639
"CG12301",283,227,549,260,287,297,315,390
"CG1231",3,5,7,3,9,16,12,25
"CG12325",142,119,291,165,222,246,240,235
"CG1233",146,117,238,127,257,298,312,346
"CG1236",167,174,343,158,421,459,532,568
"CG12362",7,1,5,2,1,0,3,1
"CG12374",0,0,2,1,1,2,2,1
"CG12376",0,0,0,0,0,0,1,1
"CG1239",84,80,155,75,194,227,255,265
"CG12420",0,0,0,0,1,0,0,0
"CG12448",1,1,1,4,1,0,0,0
"CG1246",1,3,4,4,17,15,22,18
"CG12470",28,18,44,17,22,35,37,25
"CG12480",0,0,0,0,0,0,0,0
"CG12490",0,0,0,0,1,0,0,0
"CG12502",0,0,1,4,1,5,6,5
"CG12523",0,0,0,0,0,0,0,0
"CG12531",1,0,1,1,5,6,9,7
"CG12540",0,0,0,0,0,0,0,0
"CG12581",8,7,9,1,31,37,14,18
"CG12590",1,0,0,0,0,2,2,1
"CG12592",81,61,171,80,146,124,146,104
"CG12594",7,8,13,1,10,17,6,2
"CG12607",0,0,0,0,0,0,0,0
"CG12617",0,0,0,0,0,0,0,0
"CG12620",0,0,0,0,0,0,0,0
"CG12645",0,0,0,0,0,0,0,0
"CG1265",210,192,387,183,568,644,648,665
"CG12674",0,0,0,0,0,0,0,0
"CG12688",1,0,0,1,0,0,0,0
"CG12698",42,23,48,32,43,38,51,35
"CG12708",47,25,55,33,27,24,20,39
"CG1271",122,131,246,134,318,358,274,260
"CG12713",144,111,275,145,230,288,281,298
"CG12728",777,680,1514,689,1710,1858,2099,2306
"CG1273",3,3,6,4,68,63,55,80
"CG12730",344,334,591,301,975,1228,894,1029
"CG12744",294,211,483,194,1389,1526,1744,2143
"CG12746",273,254,451,311,572,610,919,889
"CG12768",456,583,988,579,2048,1712,2158,1752
"CG12795",260,274,589,314,596,644,641,677
"CG12818",67,53,125,50,125,138,142,167
"CG12822",311,334,636,317,695,788,825,1065
"CG12836",2,0,1,0,2,1,1,1
"CG12851",4,4,3,4,12,18,28,19
"CG12866",0,0,0,0,0,0,0,1
"CG12869",2,2,1,1,4,5,3,5
"CG12877",169,153,325,170,313,317,475,500
"CG12880",18,19,44,11,167,161,256,253
"CG12883",102,97,190,102,272,299,370,414
"CG12885",37,35,63,32,109,120,139,132
"CG12909",293,227,508,209,503,581,500,563
"CG12910",17,20,32,19,30,44,72,94
"CG12911",0,0,1,0,0,1,1,1
"CG12913",5,6,20,5,22,27,41,35
"CG12914",1,0,2,0,1,0,4,4
"CG12917",86,75,123,81,403,405,750,741
"CG12920",3,1,1,0,10,11,15,16
"CG12923",0,0,0,0,2,0,0,0
"CG12935",66,35,90,45,116,98,123,162
"CG12942",157,151,296,157,308,354,422,436
"CG12947",329,273,556,318,336,360,266,258
"CG12963",0,1,4,1,2,1,10,10
"CG12970",6,10,25,11,63,49,63,76
"CG12984",3,2,3,2,10,3,11,12
"CG12985",1,0,1,0,6,3,1,2
"CG1299",120,97,239,102,276,295,358,445
"CG12991",95,83,132,61,329,362,328,353
"CG12992",0,0,2,2,1,2,5,2
"CG12998",0,0,0,0,0,1,0,0
"CG13005",68,56,111,65,148,170,142,157
"CG13008",0,0,1,1,0,2,3,2
"CG13014",63,51,128,54,189,212,236,277
"CG13016",97,84,206,78,174,190,224,233
"CG13021",13,7,23,7,18,15,24,29
"CG13029",1,1,1,3,8,11,12,9
"CG13032",0,0,0,0,1,0,0,1
"CG13075",2,0,4,2,15,17,9,13
"CG13077",13,21,27,5,28,30,25,26
"CG13078",0,0,0,3,0,3,0,2
"CG13082",10,11,22,7,37,40,30,47
"CG13083",1,0,1,1,0,1,0,1
"CG13084",0,0,1,0,3,0,0,0
"CG13085",523,560,977,556,1295,1465,1019,1082
"CG13086",1,2,3,1,4,7,5,4
"CG13088",40,38,76,37,100,142,102,108
"CG1309",137,124,247,137,228,251,277,317
"CG13102",2,1,1,1,7,5,1,4
"CG13108",20,22,44,29,104,89,70,62
"CG13114",0,0,0,0,0,0,0,0
"CG13116",23,34,39,26,49,52,29,41
"CG13117",1146,1284,2302,1271,2693,2902,1640,1752
"CG13127",0,2,2,2,0,1,0,2
"CG13137",0,0,0,0,0,0,0,0
"CG13148",2,2,5,0,10,14,12,21
"CG13151",79,72,151,77,212,212,278,298
"CG13157",0,0,0,0,1,0,0,0
"CG1316",609,566,1112,574,1090,1089,1234,1293
"CG13160",1,2,3,1,4,2,4,9
"CG13168",0,0,0,0,0,0,0,0
"CG13175",255,240,515,284,279,333,360,416
"CG13177",1,0,1,1,5,1,0,2
"CG13192",97,86,197,92,239,296,288,318
"CG13193",0,0,0,0,2,1,0,0
"CG13197",261,195,475,224,618,674,728,767
"CG13203",2,1,2,0,0,0,2,1
"CG13204",314,354,576,368,1652,1610,2349,1987
"CG13223",0,0,0,0,1,0,0,0
"CG13243",1,1,1,1,8,11,43,35
"CG13245",0,0,0,0,0,0,0,0
"CG13247",0,0,0,0,1,2,0,0
"CG13250",8,5,8,5,15,28,32,35
"CG13251",0,0,1,0,0,0,0,0
"CG13252",653,621,1213,636,1678,1527,1723,1874
"CG13255",14,11,21,8,50,52,101,105
"CG13272",0,0,0,1,0,2,1,0
"CG13287",0,0,0,0,1,1,0,0
"CG13288",4,9,15,10,13,12,7,11
"CG13293",0,2,2,0,5,4,8,6
"CG13313",0,2,4,3,5,4,2,2
"CG13314",6,3,4,1,14,11,49,51
"CG13321",15,25,44,21,83,82,32,40
"CG13325",0,0,0,0,2,1,0,0
"CG13330",0,0,0,0,7,1,8,2
"CG13331",0,0,0,0,0,1,1,1
"CG13332",0,0,0,0,0,1,1,0
"CG13334",0,3,0,3,4,3,10,6
"CG13337",0,0,0,0,0,0,0,0
"CG13344",121,94,228,109,260,284,332,290
"CG13367",141,134,269,134,288,262,336,304
"CG13369",127,95,198,104,120,155,173,194
"CG13373",63,55,114,59,96,117,140,174
"CG13384",951,932,1810,940,3129,3736,3079,3315
"CG13385",0,0,1,0,0,0,0,0
"CG13386",1,6,4,1,10,8,7,15
"CG13407",0,1,0,1,0,1,0,0
"CG13408",10,5,22,8,13,14,20,19
"CG13423",0,0,0,0,1,1,0,3
"CG13436",14,9,27,12,20,23,23,17
"CG13437",0,0,1,0,0,2,4,3
"CG1344",474,440,868,433,780,856,911,992
"CG13443",0,0,0,0,0,0,0,0
"CG13455",0,0,0,0,0,0,0,0
"CG13458",17,15,30,13,60,63,58,45
"CG13506",327,363,715,290,940,1044,794,987
"CG13510",117,130,230,99,632,642,452,522
"CG13511",117,130,230,99,632,642,452,522
"CG13516",83,71,187,56,521,565,493,581
"CG13527",0,0,0,0,0,0,0,1
"CG13532",2,1,2,1,6,1,8,3
"CG13539",0,0,0,0,0,0,0,0
"CG1354",284,240,542,296,392,423,341,398
"CG13541",0,0,0,0,2,1,1,0
"CG13558",0,0,0,0,0,0,0,0
"CG13562",17,20,28,15,50,53,60,62
"CG13563",0,1,3,0,10,17,16,15
"CG13575",2,2,7,2,3,3,5,5
"CG13579",0,1,1,0,1,3,0,2
"CG13585",82,88,192,88,317,384,407,427
"CG13587",2,1,0,1,1,0,1,6
"CG13599",33,35,73,23,81,80,88,84
"CG13606",4,1,2,0,8,10,3,5
"CG13609",58,45,107,50,110,104,145,138
"CG13614",0,0,0,0,0,0,0,1
"CG13615",0,0,0,0,0,0,0,0
"CG13617",0,0,0,0,0,0,0,0
"CG13618",1,0,3,1,1,3,4,4
"CG13627",0,0,0,0,1,0,0,5
"CG13631",1099,1033,2130,953,2183,2605,2254,2837
"CG13653",0,0,0,0,0,0,0,0
"CG13654",35,24,61,27,16,26,18,25
"CG13658",1,5,7,1,69,47,62,59
"CG13659",2,0,0,0,17,18,37,40
"CG13667",146,111,283,136,168,208,205,219
"CG13670",1,0,0,0,0,2,1,3
"CG13671",125,129,210,103,205,235,303,255
"CG13685",0,1,1,0,1,3,2,4
"CG13689",80,71,159,60,497,492,430,494
"CG13693",0,0,2,1,0,0,4,3
"CG13704",0,0,0,0,1,0,0,0
"CG13705",0,0,0,0,1,2,0,2
"CG13724",0,0,0,0,0,1,0,0
"CG13737",2,2,5,2,21,18,23,27
"CG13747",0,0,0,0,1,0,0,0
"CG13749",11,6,22,9,36,50,76,72
"CG13801",0,0,0,0,0,0,0,0
"CG13806",0,0,2,0,0,1,0,0
"CG13810",1,0,0,0,2,0,1,2
"CG13813",4,3,5,6,66,60,60,75
"CG13827",32,31,58,34,100,91,122,116
"CG13843",25,22,36,22,34,44,69,87
"CG13855",0,0,0,0,1,1,0,0
"CG13856",4,0,2,2,8,7,6,5
"CG1387",0,0,0,0,0,0,0,0
"CG13870",1,0,0,3,0,1,1,2
"CG13871",1,0,0,0,0,2,1,1
"CG13875",0,2,5,1,9,19,17,15
"CG13876",82,58,144,84,153,189,233,220
"CG13887",418,368,877,375,1734,2035,2072,2173
"CG13917",983,964,1761,1061,2523,2757,2858,2946
"CG13920",0,0,0,1,9,14,1,2
"CG13921",41,38,68,44,226,250,258,240
"CG13924",20,11,35,16,35,25,40,41
"CG13949",3,3,8,1,16,14,13,11
"CG13950",0,0,0,0,1,2,2,2
"CG13978",0,0,0,0,0,0,0,0
"CG13982",39,33,81,42,89,92,95,78
"CG13991",0,0,0,1,0,1,0,1
"CG13995",2,5,12,7,36,24,23,26
"CG14017",12,10,13,11,32,41,9,11
"CG14020",0,0,0,0,0,1,0,0
"CG14042",39,43,91,45,116,87,165,154
"CG14043",208,160,377,221,382,433,423,438
"CG14044",2,0,2,2,10,6,4,3
"CG14052",2,0,0,0,1,2,3,4
"CG14072",0,0,0,0,0,0,0,0
"CG14074",111,73,171,67,290,246,311,332
"CG14079",20,15,30,21,40,33,58,56
"CG14085",2,2,0,0,3,2,7,1
"CG14086",1,0,1,0,0,1,2,0
"CG14109",0,2,2,0,14,11,11,11
"CG14110",0,0,0,0,1,2,0,1
"CG14111",0,0,0,0,0,0,0,0
"CG14118",22,34,45,34,71,84,193,245
"CG14120",0,0,0,0,0,0,0,0
"CG14130",44,42,95,40,135,121,129,155
"CG14131",3,3,3,1,23,18,13,24
"CG14135",10,19,32,17,61,60,61,64
"CG14142",8,2,6,1,10,10,9,13
"CG14153",0,1,5,1,4,6,3,3
"CG14154",0,1,0,1,0,1,2,3
"CG1416",679,677,1251,753,664,671,701,764
"CG14174",46,40,73,33,77,71,94,95
"CG14185",0,0,0,0,0,0,0,0
"CG14190",11,7,27,10,30,36,25,26
"CG14194",172,170,365,177,432,473,436,503
"CG14200",1064,1024,2150,1035,2947,3123,2834,2952
"CG14204",0,0,0,0,0,0,1,0
"CG14205",0,0,0,0,1,0,1,1
"CG14207",381,410,794,351,2176,2117,2136,2105
"CG14230",250,229,451,235,419,424,392,427
"CG14234",3,3,4,2,15,8,10,14
"CG14238",1,1,2,0,3,4,6,7
"CG14246",0,0,1,0,2,0,0,0
"CG14252",29,35,72,28,128,96,120,130
"CG14253",1371,1492,2864,1489,1826,1983,2366,2601
"CG14257",7,0,6,4,14,8,6,6
"CG14258",0,0,0,0,0,0,0,1
"CG14259",1,0,1,0,0,0,0,1
"CG14273",409,339,822,375,774,933,989,1111
"CG14274",17,18,30,20,2,5,3,3
"CG14275",2,2,5,5,74,82,73,90
"CG1428",0,0,0,0,0,0,0,0
"CG14280",3,2,3,3,10,8,15,13
"CG14285",15,16,15,6,29,29,33,26
"CG14297",0,0,1,0,0,0,0,1
"CG14298",0,0,0,1,3,3,12,6
"CG14305",0,0,0,0,0,0,0,1
"CG14314",0,0,0,0,1,1,4,5
"CG14316",0,0,0,0,0,0,0,0
"CG14317",0,0,0,0,0,0,0,0
"CG14322",875,863,1653,834,2546,2607,2189,2362
"CG14325",1,0,0,0,1,2,1,0
"CG14327",1,1,1,0,2,2,2,1
"CG14329",1,0,1,0,4,2,1,2
"CG14339",1,0,0,0,3,6,4,3
"CG1434",94,84,152,77,133,142,139,130
"CG14340",0,0,0,0,0,2,1,0
"CG14342",0,0,0,0,0,0,0,0
"CG14346",0,0,0,0,0,0,0,1
"CG14352",44,36,87,53,171,161,129,140
"CG14354",0,0,0,0,0,1,0,0
"CG14367",77,73,158,84,242,235,250,271
"CG14380",0,0,0,0,0,0,0,0
"CG14395",1,2,7,5,6,8,6,6
"CG14397",0,0,2,0,2,1,9,8
"CG1440",299,252,547,295,730,776,795,803
"CG14401",6,2,6,1,112,109,202,236
"CG14402",0,1,0,2,1,0,1,1
"CG14411",396,378,774,409,697,899,778,869
"CG14414",104,94,216,119,224,252,240,252
"CG14420",0,0,0,0,2,1,0,0
"CG14422",0,0,1,0,0,0,1,0
"CG14423",0,0,0,0,0,0,1,0
"CG14427",0,0,0,0,0,0,0,0
"CG14431",22,22,56,27,83,102,68,97
"CG14439",2,0,1,3,11,7,4,11
"CG14441",237,237,482,239,2224,2355,1997,1883
"CG14443",154,135,272,141,220,170,297,246
"CG14445",5,6,14,7,10,10,10,19
"CG14456",0,0,0,0,0,0,0,0
"CG14457",0,0,0,0,1,0,3,6
"CG14464",378,343,694,345,690,737,767,839
"CG14478",1083,1093,2183,1094,2086,2345,3010,3349
"CG14480",144,128,299,125,279,319,402,404
"CG14502",8,8,15,7,30,24,53,34
"CG14515",0,1,2,0,1,2,0,1
"CG14516",39,51,97,30,411,477,1175,1206
"CG14518",7,9,9,3,7,16,18,18
"CG14540",1,0,0,0,1,1,0,0
"CG14544",90,74,211,105,117,132,135,134
"CG14556",29,30,57,33,204,215,162,170
"CG14561",85,73,194,87,163,235,326,346
"CG14562",232,198,398,199,552,571,844,968
"CG14579",0,0,0,0,0,0,0,0
"CG14589",3,0,5,1,6,13,6,8
"CG14598",1,1,1,0,0,1,0,1
"CG14607",1,0,1,0,1,2,1,2
"CG14609",6,2,15,2,9,13,8,9
"CG1461",15,5,18,9,66,43,74,57
"CG14618",157,125,271,131,181,183,214,243
"CG14621",173,143,380,197,389,349,339,353
"CG14625",0,0,0,0,0,0,0,1
"CG14626",0,0,0,0,4,4,2,1
"CG14627",0,0,0,0,0,0,0,0
"CG14629",486,518,980,563,1843,1949,2475,2563
"CG14630",121,75,201,109,97,105,106,133
"CG14646",272,255,429,239,578,629,680,813
"CG14647",190,170,355,167,255,306,236,320
"CG14650",345,272,596,265,583,664,666,666
"CG14651",0,0,0,0,1,1,1,1
"CG14664",43,25,66,30,76,80,78,61
"CG14667",95,85,187,93,258,298,310,356
"CG14669",97,88,234,103,401,442,327,337
"CG14683",207,207,404,208,489,571,435,462
"CG14710",57,50,115,57,186,197,176,220
"CG14711",166,150,294,145,589,732,576,588
"CG14712",465,405,906,418,887,899,844,891
"CG14717",9,9,17,12,16,29,5,4
"CG14718",12,11,21,11,73,81,31,25
"CG14721",120,87,206,88,265,298,338,332
"CG14722",157,117,280,111,335,393,315,336
"CG14731",0,0,0,0,1,0,0,0
"CG14736",0,1,0,0,0,0,0,0
"CG14742",0,0,0,0,0,0,0,0
"CG14752",0,1,2,0,5,9,5,3
"CG14760",0,2,0,3,2,3,1,0
"CG14777",310,315,547,261,557,620,816,858
"CG14778",167,149,297,164,315,369,482,468
"CG14780",54,39,85,54,118,134,158,140
"CG14797",1,1,2,2,4,6,8,9
"CG14803",325,310,639,323,360,374,433,466
"CG14805",414,377,772,398,653,693,656,772
"CG14820",0,1,0,0,1,0,0,0
"CG14823",0,0,0,0,0,0,0,0
"CG14826",0,0,0,0,0,1,0,0
"CG14838",0,0,0,0,0,0,0,0
"CG14853",1,1,1,0,2,1,1,0
"CG14855",126,178,251,153,1043,1132,707,761
"CG14856",155,216,304,191,1392,1105,468,309
"CG14857",18,13,38,21,354,394,101,96
"CG1486",222,193,444,193,411,503,472,460
"CG14860",17,23,32,13,55,54,71,49
"CG14861",0,0,0,0,0,0,0,0
"CG14866",0,2,0,1,0,3,1,1
"CG14881",39,39,95,50,74,101,127,114
"CG14882",119,119,258,126,203,201,199,221
"CG14883",76,75,166,78,284,290,344,370
"CG14891",0,0,0,0,1,1,3,1
"CG14892",2,1,0,2,0,0,1,1
"CG14893",0,0,0,0,0,0,0,0
"CG14913",0,0,0,1,0,0,0,1
"CG14929",138,160,311,177,381,435,336,338
"CG14931",0,0,0,0,7,6,1,2
"CG14932",1,0,0,0,4,2,5,7
"CG1494",4,1,5,5,3,12,4,4
"CG14947",1,4,2,3,3,2,6,9
"CG14960",0,0,0,0,0,0,2,0
"CG14961",34,28,82,42,183,243,233,264
"CG14982",0,0,0,0,2,2,0,2
"CG14985",141,134,269,145,336,392,403,396
